image	caption
/content/MediaEval_NewsImages/Training Dataset/UVdfU1peXEd-XR8FAA5RUFVdRH5QGANU.jpg	With Russian approval: UN Security Council decides Ukraine resolution On Friday, the United Nations Security Council adopted a joint resolution on the conflict in Ukraine. The representative of Russia also approved the text proposed by Norway and Mexico.
/content/MediaEval_NewsImages/Training Dataset/UVdeAw0OBEB-XR8FAA5QUFwEQXtTTVYB.jpg	Why Russia's intervention in Ukraine is legal in international law In Russia's military intervention in its neighbouring country, the argument can be put forward that Moscow has made use of its right to self-defense – because the conflict with Ukraine did not break until 24th. February this year.
/content/MediaEval_NewsImages/Training Dataset/UVdfU18LARYpUUFXBgtUUFhXQn9QQFZX.jpg	Historical Victory: Sinn Féin is in Northern Ireland The result of the elections in Northern Ireland is already considered historical: The unionist DUP has clearly overtaken the Irish-Republican sense of Féin and is expected to be the leader of the government for the first time in the future. A union with Ireland is on the agenda again.
/content/MediaEval_NewsImages/Training Dataset/UVdfU15bUkB-XR8FAA5RUAxSQSgGS1BU.jpg	Ramelow attacks Putin: Historical Lie unharmed National Socialism Whether Corona crisis or Ukraine war: Thüringens Prime Minister B Now he attacks Russia's President Vladimir Putin: This is unharmed with the speech of the alleged 'enazification' of Ukraine the National Socialism.
/content/MediaEval_NewsImages/Training Dataset/UVdfU1ALBxZ-XR8FAA5RUAxSQSgGS18D.jpg	Attack on Russian journalists in Berlin Unknown attacked a residence on Friday in Berlin Despite the brisance of this attack, German media reports very sparsely to not at all. The director of the media group Rossija Sewodnja, Sergei Feoktistow, will describe further details.
/content/MediaEval_NewsImages/Training Dataset/UVdfUwgIAEZ-XR8FAA5RUFpVQS9UG1ZT.jpg	Alice Schwarzer concerned: Caffs like you, Mrs. Strack-Zimmermann, increase the risk The debate on heavy weapons for Ukraine is heavily polarized in Germany. In an interview between Alice Schwarzer and the FDP politician and armaments lobbyist Marie-Agnes Strack-Zimmermann, it was hot on Friday.
/content/MediaEval_NewsImages/Training Dataset/UVdfV1gPV0YpUUFXBgtVDFxTRXIHQV8G.jpg	Countdown started: The war in Ukraine leads the world into a new reality Many people are confused today. Not the liberal elite that feels at home where the food tastes best. Rather, people far away from politics, especially younger. They feel what is happening as a collapse of their familiar world.
/content/MediaEval_NewsImages/Training Dataset/UVdfUApZVEUpUUFXBgtXDV5QQ3xVTlJT.jpg	Red Flag, Trikolore and Babuschka Z: The Shifting of Russian Society Red flag knowledge about vehicles on the Russian side and over liberated places in Ukraine But it is not the Soviet, but the victory flag, and it also bears witness to a division of Russian society.
/content/MediaEval_NewsImages/Training Dataset/UVdfUl8LBBd-XR8FAA5RDw4GQC9WQFUG.jpg	Passing to 8. May: Left Prime Minister Ramelow calls for heavy weapons for Ukraine Follows the next left taboo? On Saturday, Bodo Ramelow demanded the dispatch of heavy weapons from Germany to Ukraine, and he quoted international law. Now he's blowing a strong backwind from his own rows.
/content/MediaEval_NewsImages/Training Dataset/UVdfUghYVUF-XR8FAA5WUVxXQn4ESgNc.jpg	Nazis out: Ambassador Melnyk puts down Kranz in the animal garden The Ukrainian ambassador has laid a wreath on the Soviet honorary occasion in the Berlin animal garden. The appearance of protests was accompanied. Demonstrators demanded the expulsion of the diplomat. But also supporters Melnyks were on site.
/content/MediaEval_NewsImages/Training Dataset/UVdfUlAJAxMpUUFXBgtSXwtcRClUSF8E.jpg	Serdar Somuncu: Germany should not enter this war The comedian and cabarettist Serdar Somuncu had criticized the Corona actions and subsequently erased his accounts on all social networks. He was recently criticising German weapons supplies for Ukraine. In a detailed interview for the Berliner Zeitung he summarized his convictions.
/content/MediaEval_NewsImages/Training Dataset/UVdfUgtaAUopUUFXBgtSXwsBRC5UHAVU.jpg	Biden wants to stop intelligence-leaks to the Ukraine war: distract us from objectives in conflict Over the course of the Ukraine war, the media increasingly appealed to U.S. intelligence leaders in their reporting. However, these turned out more and more often than wrong. U.S. President Joe Biden is now trying to deal with the information.
/content/MediaEval_NewsImages/Training Dataset/UVdfUwtVXRMpUUFXBgtUUFhXQn9QQFRc.jpg	The EU, freedom of the press and war The EU praises itself on the day of press freedom, but proposes new censorship measures against Russian media the next day. Press freedom is not understood in the EU. If that were the case, Germany and the EU would probably not have entered the war.
/content/MediaEval_NewsImages/Training Dataset/UVdfUg1YUBZ-XR8FAA5RDw4GQC9WQFEG.jpg	Now officially: Lula da Silva candidate for Brazil's Presidency The former Brazilian President Luiz Inácio Lula da Silva, term of office in 2003 to 2010, announced his candidacy on Saturday at the forthcoming elections in October. The President-in-Office of the Council, Jair Bolsonaro, is therefore facing a strong challenger.
/content/MediaEval_NewsImages/Training Dataset/UVdfUgpVBBN-XR8FAA5RUQ9QQHkBGAMD.jpg	Gysi to Ukraine trip against German arms deliveries Following a Ukraine trip to the dpa against German weapons deliveries, the left politician and the German parliamentarian Gregor Gysi expressed their views on the war area. At the same time, he explained to be ready with the Putin regime.
/content/MediaEval_NewsImages/Training Dataset/UVdfUl4IAEspUUFXBgtSUVgDR30HH1UA.jpg	Bad signs for May 9: Berlin wants Heil der Ukraine instead of the day of victory To celebrate 8 May, the Federal Republic of Germany was always hard to celebrate, and the day of This year they want to Ukrainianize them. This calls into question all these days.
/content/MediaEval_NewsImages/Training Dataset/UVdfUg1dBEJ-XR8FAA5RUFVdRH5QG19d.jpg	NATO manoeuvre Swift Response: United States dispatching ten Earth combat aircraft Thunderbolt A-10 to Eastern Europe Against the background of a large NATO manoeuvre under the leadership of the US Army in Eastern Europe, the US has moved ten Earth Fighters of the Thunderbolt A-10C type here. The combat jets are also used as air support for fighting tanks.
/content/MediaEval_NewsImages/Training Dataset/UVdfXVpUV0B-XR8FAA5SD14ERHpWGFAD.jpg	Can a Jew have anything to do with Nazism? Why Selensky's origin must not be an excuse In Ukraine, there are Jewish and Nazism in no contradiction with each other. It is therefore incomprehensible why the statements made by the Russian Foreign Minister about the Jewish origin of Vladimir Selensky in Israel have caused such a wave of disarmament.
/content/MediaEval_NewsImages/Training Dataset/UVdfXQpdAUZ-XR8FAA5WUVxXQn4ETVFW.jpg	Assad: Strong relations between Iran and Syria as a bulwark against US dominance and Israel The Syrian President was welcomed on Sunday for a visit to Iran. Assad said in Tehran, strong relations between Iran and Syria serve as a bulwark against the influence of the US and Israel in the Middle East.
/content/MediaEval_NewsImages/Training Dataset/UVdfXQoLVkApUUFXBgtRCgsBRy4ETAZS.jpg	Commerzbank CEO sees German economy ahead of a Pleite wave The Chairman of Commerzbank's Board of Directors Manfred Knof expects more insolvency in Germany due to the impact of EU sanctions against Russia. Consequently, the Commerzbank CEO sees an increase in credit losses this year due to higher inflation.
/content/MediaEval_NewsImages/Training Dataset/UVdfXQ1UBEQpUUFXBgtQDVsGQ35UGFYA.jpg	Hamas threatens rocket attacks: When Israel resumes targeted killing of its leaders In Israel, after the recent attack calls have become loud after the killing of Hamas officials. Hamas has now sent a message to Egypt, which contains a warning towards Israel: The group will react with rocket attacks if Israel resumes the targeted killing of Hamas leaders.
/content/MediaEval_NewsImages/Training Dataset/UVdfXQ8IVEJ-XR8FAA5SD14ERHpWGAEB.jpg	Report: Hungary blocks EU embargo against Russian oil The European Union obviously cannot agree on an oil embargo against Russia. According to reports, a ban on Russian oil imports continues to be fought in Budapest. In order for the sanction package to be implemented, all Member States would have to agree.
/content/MediaEval_NewsImages/Training Dataset/UVdfXQ8LBEF-XR8FAA5SUA4BRnkBHVEH.jpg	BioNTech: vaccine holding on 12 months, sales & profit tripled The longevity of BioNTech’s Comirnaty vaccine has been extended from nine to twelve months in the EU. In addition, the refresher vaccination interval for persons aged 12 and over was shortened from six to three months. Sales and profits of the Pandemie winner from Mainz were tripled in the first quarter of 2022.
/content/MediaEval_NewsImages/Training Dataset/UVdfXFoOUxcpUUFXBgtWXQsHRS4DSAFc.jpg	Selensky on May 9: With Nazi symbols against Nazism? And again. This time on Telegram, and with a skull. Even if Vladimir Selensky became 9. May attempts to earn the victory over fascism, but the truth slips out of him. It is ugly – and quite clear.
/content/MediaEval_NewsImages/Training Dataset/UVdfXFwMUhF-XR8FAA5UWVpQRXgAHVJQ.jpg	A feast of joy with tears in the eyes – Commemoration of the Victory Day in Moscow This year alone in Moscow were expected to bring about a million people driving through portraits.
/content/MediaEval_NewsImages/Training Dataset/UVdfXFhaURR-XR8FAA5SC15XQ3xSSVVW.jpg	Fascism does not come through – The Immortal Regiment 2022 in Berlin In Berlin, the traditional memorial march Unsterbliche Regiment took place this year under strict conditions. Above all, St. George's bands and Soviet flags were not shown. At the gatherings, this was only a short time for a turbulent atmosphere.
/content/MediaEval_NewsImages/Training Dataset/UVdfXFwLVEIpUUFXBgtSD1gARy9UTlYG.jpg	Gas supply stop from Russia: German economy could break by 12 percent Finally, it speaks plainly: Without Russian gas, the economy could break down by up to 12 percent, a new study by the Mannheim economic professor Tom Krebs warns. Consequently, an economic crisis that Germany has not experienced since the Second World War threatens..
/content/MediaEval_NewsImages/Training Dataset/UVdfXFtcAEZ-XR8FAA5SC15XQ3xSSVRV.jpg	Captured commander: Foreign fighters seek adventure in Ukraine Since the beginning of the Russian military operation in Ukraine, thousands of volunteers from abroad have joined the Ukrainian army. A Ukrainian officer was surprised at RT by the justification for it by some British fighters.
/content/MediaEval_NewsImages/Training Dataset/UVdfXF9YAxF-XR8FAA5VDA9UQigAHVJT.jpg	Weapons severe mistakes: AfD CEO Chrupalla calls for dialogue with Russia AfD-Chef Tino Chrupalla condemns the supply of weapons to Ukraine. He asked for the direct diplomatic dialogue with Russian President Vladimir Putin. In addition, it is the primary task of German politicians to represent German interests.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFhZB0MpUUFXBgtXXlVUQSlSQAUG.jpg	Polish Interior Minister finds attack on Russian ambassadors of course The Russian ambassador in Poland became on the 9th. May in Warsaw, when he wanted to lay flowers in a cemetery for Soviet soldiers, he was over-ground by demonstrators with red color. The Polish Interior Minister finds the reaction of the demonstrators of course.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFpeVxF-XR8FAA5UWFQBQipcQVVT.jpg	On the occasion of the 9th May: Ukrainian President Shows Picture of a Soldier with Nazi Insignia Preview align=left style=margin-right: 10px  src=https://cdni.russiatoday.com/english/images/2022.05/thumbnail/627a332c48fbef119d0a9826.jpg /> While Russia celebrates victory over fascism in World War II However, the image soon disappeared from its profile on social networks.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFsMBBF-XR8FAA5UXFtSQHkEHAJX.jpg	Israel is engaged in confrontation with Iran: Russia is to withdraw troops from Syria Russia should have begun to withdraw some of its troops from Syria. This announcement has caused a stir at Israeli media. The new development could become problematic for Israel.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFoIA0R-XR8FAA5VCwsEQCkBT19X.jpg	Politically motivated crime in Germany is increasing Last year, in Germany, in particular the political crimes that cannot be attributed to ideology have grown, as can be seen from the BKA report presented today. A connection with the protests against the state measures to contain the Corona pandemic.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFxUAUZ-XR8FAA5RXgwHQC9SSV8D.jpg	Tanker could break up shortly: Yemen threatens huge oil spill According to a report by AFP, the UN warned on Monday that a tanker abandoned before Yemen could break up shortly – with fatal consequences for man and nature. In addition, the elimination of the oil spill would cost around US$20 billion.
/content/MediaEval_NewsImages/Training Dataset/UVdfBF5VU0N-XR8FAA5UWFQBQipcQQZR.jpg	If the US really fears a nuclear Iran, they should join the nuclear agreement again The prospect of a nuclear-armed Middle East underlines the need for more diplomacy, not less. Otherwise, this could lead to a further deterioration in global security and to more resentment against Washington.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFAIBxB-XR8FAA5VCwsEQCkBTwFW.jpg	Ukraine stops gas transit from Russia to the EU via Sochranowka Station From tomorrow Wednesday, Ukraine will no longer serve the gas transit towards the EU from the Sochranowka distribution station. However, it could fully fulfil its delivery obligations to EU countries. This would redirect capacity within Ukraine, according to the country’s gas transport operator.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFBZVEEpUUFXBgtQW1wEQy5RSV9R.jpg	Bas calls for rapid EU accession to Ukraine After her journey to Ukraine, President of the Bundestag Bärbel Bas, in several TV shows on weekends and Monday, demanded that Ukraine be quickly incorporated into the EU. Olaf Scholz and Emmanuel Macron think about an extended community of the EU with Ukraine.
/content/MediaEval_NewsImages/Training Dataset/UVdfBAhZB0V-XR8FAA5RXgwHQC9SSQFd.jpg	First president of independent Ukraine Kravchuk died Leonid Krawtschuk, first president of independent Ukraine, died Tuesday Kravchuk was president of the country from 1991 to 1994 and recently headed the Ukrainian delegation in the contact group to regulate the situation in eastern Ukraine.
/content/MediaEval_NewsImages/Training Dataset/UVdfBF9fVkopUUFXBgtRDVUGR3lUG1JR.jpg	Upcoming parliamentary elections in Lebanon: will the Sunni stay away from the elections? Hezbollah could play its hands in the upcoming parliamentary elections as a possible high-ranking attitude among the Sunni and a fragmentation of the Sunni electorate due to Saad Hariri's withdrawal from politics.
/content/MediaEval_NewsImages/Training Dataset/UVdfBF9UXUIpUUFXBgtRDVUGR3lUG1FR.jpg	Russian diplomat shows posted Nazi image by Selensky – Sky News breaks interview immediately According to Russian diplomat Dmitri Poljanski, a broadcast in the British TV channel Sky News was terminated after the latter had shown a picture with a Nazi symbol that Ukrainian head of state Wladimir Selenskij posted on his Telegram channel and deleted again.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFFaB0Z-XR8FAA5UWVpQRXgAHFJd.jpg	The Western giant and the sanctions months and carefully the sanctions against Russia had been prepared, declared Minister of Economy Robert Habeck How can it be that the West has set itself a leg like that?
/content/MediaEval_NewsImages/Training Dataset/UVdfBFxYU0spUUFXBgtSDF1UR3hXHV9R.jpg	Politico report: EU wants to blame Ukraine According to a report from the newspaper Politico Brussels is to issue a bond According to Kiev, its monthly financial needs amount to five billion euros.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFAMB0EpUUFXBgtTXwkBQy9cQVVU.jpg	Brandenburg: provider EWE increases gas prices by 30 percent on 1 July The anti-Russian sanctions caused by the war in Ukraine continue to drive gas prices upward. Due to the insolvency of some providers and due to large uncertainties, customers are increasingly looking for prestigious basic suppliers. A large provider in Brandenburg, based in Lower Saxony, now increases the costs for consumers.
/content/MediaEval_NewsImages/Training Dataset/UVdfB15fAUJ-XR8FAA5VCllXRChWHwQB.jpg	US Head of Intelligence: Putin prepares for a long war Washington considers that the Russian president Vladimir Putin prepares for Ukraine A victory of Russia in Donbas might not mean the end of the war, such a high-ranking US intelligence officer.
/content/MediaEval_NewsImages/Training Dataset/UVdfXVlbBEQpUUFXBgtSWVwDQ3pVHwZT.jpg	Waffe of highest quality - Onyx rockets, high-precision and hard to capture Onyx rockets have already destroyed hangars with unmanned aircraft Bayraktar TB2 during the Russian special operation in Ukraine, as well as arms and ammunition delivered from the USA and European countries.
/content/MediaEval_NewsImages/Training Dataset/UVdfBFwIBkcpUUFXBgtSD1hcRnNXGl5d.jpg	Pulitzer Prizes for Fake News on Russia-Gate – Donald Trump is outraged The prestigious Pulitzer Prizes for Journalism are scheduled to go to the Washington Post and the New York Times this year: for reporting on the alleged Russian influence on the 2016 presidential elections. Ex-US President Donald Trump, as a victim of the Russiangate, does not find that funny.
/content/MediaEval_NewsImages/Training Dataset/UVdfB18PUEIpUUFXBgtXDA5TQHxcSVZS.jpg	Al Jazeera: Israeli army kills journalist on refugee camps by storm According to the Palestinian Ministry of Health, Israeli forces shot an Al-Jazeera reporter in the Israeli occupied West Bank. Schirin Abu Akleh was on Wednesday to report on an Israeli raid in a refugee camp in Dschenin City.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwhaAUApUUFXBgtXXF4BQi0DT1dV.jpg	Hungarian Ambassador: Wouldn't block NATO accession to Ukraine In an interview, the Hungarian ambassador in Ukraine, István Íjgyártó, declared that his country would not block Ukraine's accession to NATO and the EU. Weapons demanded by Kiev remain taboo for Budapest.
/content/MediaEval_NewsImages/Training Dataset/UVdfB18JUUYpUUFXBgtXDFxQRXJRS1ZV.jpg	Musk about Trump's banishment from Twitter: War morally wrong and stupid If Elon Musk Twitter should buy the platform open to Donald Trump The ex-president said he was not interested, but with a view to a possible new candidate 2024, he could use Twitter well.
/content/MediaEval_NewsImages/Training Dataset/UVdfB1FYUxEpUUFXBgtXWQtSR3pRTVFU.jpg	Israel attacks targets in Southwest Syria with rockets Israel is to have carried out a rocket attack on several targets in the suburb of Quneitra in Southwest The Secretary General of Hezbollah warned on Tuesday that his movement was alert after the IDF had started a large-scale exercise.
/content/MediaEval_NewsImages/Training Dataset/UVdfB1BUB0cpUUFXBgtXXF4BQi0DTAJd.jpg	Israel: Russian ambassador leaves Knesset Memorial Session on 9 May The dispute over the Ukraine war between Russia and Israel does not break. The Russian ambassador in Israel left a Knesset event on Tuesday on the day of victory after some MEPs had strongly criticised Moscow for his military operation in Ukraine.
/content/MediaEval_NewsImages/Training Dataset/UVdfB1APBEZ-XR8FAA5QXAxdQnJXQV5Q.jpg	Lawrow in Oman: West can now explain to its citizens why they have to pay more for oil Russia's Foreign Minister Sergei Lawrow has traveled to Sultanate Oman. After talks with his counterpart, Lawrow stated that the oil state would adhere to the OPEC+ agreements with Moscow. The sanctions are the problem of those states that would have imposed them.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwsPXEB-XR8FAA5UXg5cRS5XTwYD.jpg	Because of Putin-Nähe: Czech City Budweis recognizes honorary citizenship for first woman in space Walentina Tereschkowa, the first woman in space, loses Czech citizens Reason of Detection: the Russian special operation in Ukraine and Terezhkova's connection to President Vladimir Putin.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwsMB0cpUUFXBgtXWVQGQCgGGgJT.jpg	Saxony's Prime Minister Kretschmer sees embargo on Russian oil critical One politician or another is slowly instinctive: without Russian oil and gas, the lights could come out in Germany at the latest from autumn. On Wednesday, Saxony's Prime Minister Michael Kretschmer was critical of an embargo on Russian raw materials and asked who suffered most from the sanctions.
/content/MediaEval_NewsImages/Training Dataset/UVdfBw0MVUR-XR8FAA5QXFQAQXNVHARd.jpg	Habeck in the glasses: Qatar wants contracts over 20 years for the supply of liquid gas The Federal Minister for Economic Affairs Robert Habeck had not imagined: The planned Hauruck conversion from Russian natural gas to cataric liquefied gas not only threatens to be significantly expensive, but also the long contractual term torpedia the federal government's climates.
/content/MediaEval_NewsImages/Training Dataset/UVdfBllZAUcpUUFXBgtTCl1WRHJcTlYH.jpg	Bulgaria concludes contract with the USA for the purchase of liquid gas After Bulgaria has refused to pay in Rubel, which is demanded by Russia, the country has now signed a contract with the USA on LNG deliveries. The Bulgarian energy minister found the new payment procedure too risky.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwtaVRd-XR8FAA5TUAtdQy5STgEB.jpg	US Congress wants to question Pentagon to UFOs The Secret Service Committee of the House of Representatives will hold its first public hearing on inexplicable air phenomena for 50 years. The hearing is to be held by the Subcommittee on Terrorism, Anti-Spying and Dissemination of the Secret Service Committee.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwtUAxApUUFXBgtUDwhTRS1VSwQB.jpg	Russian exports to India increased significantly Despite the political pressure of western states on India, the import of fossil fuel from Russia.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwsIUhB-XR8FAA5QXAxdQnJXQQNc.jpg	Oil embargo, but not entirely and not for all The EU Commission has proposed another sixth sanction package against Russia. The hardest instrument is the oil embargo against Russia. When looking closely, this embargo turns out to be a strange construct.
/content/MediaEval_NewsImages/Training Dataset/UVdfBw9cU0N-XR8FAA5TUAtdQy5SQVNX.jpg	Frust in the USA – Rate of inflation is low Although high inflation in the USA has weakened slightly by 0.3 percent in April, only This means that the cost is only minimally removed from the highest value for 40 years. The possibilities of the Fed are limited while the standard of living erodes.
/content/MediaEval_NewsImages/Training Dataset/UVdfBw8PAEIpUUFXBgtTCl8BRXhdHQNT.jpg	From Bavaria to Brandenburg: mosquitoes can transfer West-Nil virus to humans As if mosquitoes were not exhausting enough – in some areas of Germany they can transfer the West-Nil virus, now also to people. Hotspots have so far been the east and south of the country, but there is a further spread.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwxeUUJ-XR8FAA5RUQxWQipcQFBX.jpg	Media report: EU plans Russian expropriations, even if there is no criminal offence The European Union would like to allow Member States to dispose and exploit assets of Russian oligarchs, without trial and without the person concerned being able to get a little individual debt. According to Politico, proposals are currently being drawn up for corresponding regulations.
/content/MediaEval_NewsImages/Training Dataset/UVdfBwwPUkp-XR8FAA5QXFQAQXNVHANc.jpg	French left politician Mélenchon: The GDR was annexed by West Germany In a television debate, French leftist politician Jean-Luc Mélenchon declared East Germany the victim of a violent annexation by the old Federal Republic of Germany. In addition, the French love Germany, so that it is better if there are two of them than just one..
/content/MediaEval_NewsImages/Training Dataset/UVdfBg0IUEApUUFXBgtQXFVQQy5QTFFd.jpg	Media report: Russian Ruble best currency worldwide According to a report from Bloomberg, the ruble has developed into the best currency worldwide since the beginning of the year and has overtaken the Brazilian real in the rankings. The reason for this is the controls of capital movements imposed by the Russian Central Bank.
/content/MediaEval_NewsImages/Training Dataset/UVdfBgpdUxcpUUFXBgtQXg9XQyhVSQYG.jpg	No country is immune – the number of droughts has risen by 29 percent worldwide since 2000 Although droughts have been counting since 2000, the number and duration has risen The United Nations describes the consequences for millions of people in their new drought report.
/content/MediaEval_NewsImages/Training Dataset/UVdfBg8PXUQpUUFXBgtWC1xTQH0EGANU.jpg	Emirates: NOPEC law in the US Congress could raise oil prices by 300 percent An NOPEC bill is intended to change US anti-trust law in order to exert more pressure on OPEC countries. The emiratic energy minister warned that such a NOPEC law in the United States could raise oil prices by 300 percent.
/content/MediaEval_NewsImages/Training Dataset/UVdfBgwOUUQpUUFXBgtWC1pWRn8HSlJX.jpg	Save instead of eco – Germans have less money left for organic food All is more expensive – this also has a fair trade for the market of organic products and those products This year it was clear that fewer consumers spend money on it.
/content/MediaEval_NewsImages/Training Dataset/UVdfBg9VBBN-XR8FAA5WWA5SRXldTFYG.jpg	North Korea should have fired missiles again North Korea apparently continues its rocket tests. According to South Korean information, the country is expected to be on 12. May have fired three rockets towards the Japanese Sea. This is the first test since the defense of the new South Korean President Yoon Suk-yeol.
/content/MediaEval_NewsImages/Training Dataset/UVdfBgxUUREpUUFXBgtWC1xTQH0EGAUB.jpg	North Korea reports first COVID-19 cases Pjöngjang's state news agency KCNA-19ID The Politburo speaks of a serious emergency situation and decides to strengthen existing quarantine measures. There are the first officially confirmed COVID-19 cases in the country.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVhfVEp-XR8FAA5WUVlcQS1TGgVU.jpg	Murdered Al Jazeera reporter: Palestinian president wants to turn to UN courts Several thousand people gathered at the funeral ceremony for Shire Abu A According to the Palestinian Ministry of Health, Israeli forces shot the journalist in the Israeli occupied West Bank.
/content/MediaEval_NewsImages/Training Dataset/UVdfBg9YVBZ-XR8FAA5WWA5SRXldTFdc.jpg	Eklat in Riga: Authorities remove flowers from the war memorial and thus divide society The scandalous distance of the 9th May at the monument to the Blessed Flowers has led to a division of Latvian society. Announced protests and a possible demolition of the monument are consequences of events on the day of victory.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVsOAEB-XR8FAA5WUVQERXtXQFcA.jpg	Kosovo submits membership request for the Council of Europe The partially recognised Balkan State of Kosovo shall submit an application for membership of the Council of Europe. Germany is expected to support the application. Serbia's President criticises Priština's step as a breach of contract and promises political consequences.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVtdB0p-XR8FAA5WCwhcQC0BQQNW.jpg	Court of Justice in Mali invites France's Foreign Minister for damage to public property Against the background of considerable political tensions between Mali and France, a court in Bamako has charged the French Foreign Minister Jean-Yves Le Drian. He is also taken against Le Drian's son Thomas. They're supposed to go ahead on June 20th.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVgMUUJ-XR8FAA5WUVwERXJVSVMA.jpg	Siemens terminates Russia business after 170 years – Penalties press profit massively down More and more German companies withdraw from business with Russia due to anti-Russian sanctions Siemens is already breaking its profits today – the damage to the German economy is enormous.
/content/MediaEval_NewsImages/Training Dataset/UVdfB1BdAxMpUUFXBgtXXF4BQi0DTAMB.jpg	Health Minister Lauterbach and ARD-Moderator Maischberger: A Dream Pair In the ARD Talk-Sendung Maischberger, the minister has little to fear. Device Lauterbach in the focus of media criticism, serves the broadcast rather as a governmental justification opportunity for back and current failures and mistakes of Lauterbach.
/content/MediaEval_NewsImages/Training Dataset/UVdfAVxUU0B-XR8FAA5WUVQERXtXQFMB.jpg	Putin: Russia expects the greatest wheat harvest ever Russia expects a record harvest this year on wheat, said Russian President Vladimir This could help the global food supply in the face of threatening famines.
